id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1.28844E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84725344,50,4,TRUE,29/7/2020 11:30,LAW &amp; ORDER!,,Twitter for iPhone,48443,262404,FALSE
1.28844E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84725344,50,4,TRUE,29/7/2020 11:30,Sleepy Joe Biden is just a Trojan Horse for the Radical Left Agenda. He will do whatever they want!,,Twitter for iPhone,41566,196636,FALSE
1.28844E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84725344,50,4,TRUE,29/7/2020 11:24,"“The Plus, Self-Help for People Who Hate Self-Help”, by the very smart and witty @greggutfeld, is on sale now. It i… https://t.co/HM4FyGDITb",,Twitter for iPhone,13997,57294,FALSE
1.28843E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84725344,50,4,TRUE,29/7/2020 11:20,Great going to a very talented group! https://t.co/Iyw3yOEoN2,,Twitter for iPhone,7667,34714,FALSE
1.28843E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84725344,50,4,TRUE,29/7/2020 11:18,Vote these people out. They are CRAZY!  #2020 https://t.co/ktRw2pJUFa,,Twitter for iPhone,42461,130479,FALSE
1.28811E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84725344,50,4,TRUE,28/7/2020 13:48,"....be able to produce what I have. So when you see those nasty ads from Big Pharma remember, the only reason they… https://t.co/Yr70xJLf76",,Twitter for iPhone,29326,117896,FALSE
1.28811E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84725344,50,4,TRUE,28/7/2020 13:48,Big Pharma is taking television ads trying to make the case that I am raising prescription drug prices on seniors.… https://t.co/gTMIf7wDIQ,,Twitter for iPhone,60741,214041,FALSE
1.2881E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84725344,50,4,TRUE,28/7/2020 12:53,“Nadler calls ANTIFA violence a MYTH.” @foxandfriends  They are Anarchists with miles of “tape” showing their illeg… https://t.co/3PHB1th4yv,,Twitter for iPhone,37137,140612,FALSE
1.28862E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 23:39,"Germany pays Russia billions of dollars a year for Energy, and we are supposed to protect Germany from Russia. What… https://t.co/RKaN0O2gtM",,Twitter for iPhone,47187,199063,FALSE
1.28862E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 23:24,"Check out this Mail-In Voting experiment by a local news station! 
https://t.co/23tOdt1hYc",,Twitter for iPhone,60431,128386,FALSE
1.2886E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 22:28,New York Mail-In voting is in a disastrous state of condition. Votes from many weeks ago are missing - a total mess… https://t.co/AhENvwe53K,,Twitter for iPhone,39896,119735,FALSE
1.2886E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 22:15,.@FoxNews reported incorrectly what the Federal Government is doing with respect to Portland. We are demanding that… https://t.co/SplDaVw21D,,Twitter for iPhone,29213,98195,FALSE
1.28856E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 19:57,Great to be in Texas!,,Twitter for iPhone,29779,250218,FALSE
1.28852E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 17:02,"...do not stop the Crime and Violence from the Anarchists and Agitators immediately, the Federal Government will go… https://t.co/Jz7OQ2YYEv",,Twitter for iPhone,13699,59404,FALSE
1.28852E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 17:02,"If the Federal Government and its brilliant Law Enforcement (Homeland) didn’t go into Portland one week ago, there… https://t.co/rbwoNLkfoY",,Twitter for iPhone,19468,78160,FALSE
1.28852E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 16:59,Just landed in the Great State of Texas! https://t.co/Z9LjIU0Uec,,Twitter for iPhone,9951,50036,FALSE
1.28852E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 16:58,"I was on Air Force One flying to the Great State of Texas, where I just landed. It is AMAZING in watching @FoxNews… https://t.co/LD9tbmkQSy",,Twitter for iPhone,23604,110996,FALSE
1.28851E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 16:26,"...With Biden, drug prices will quadruple! After many years, the game is finally up for Big Pharma, and they’re NOT… https://t.co/wxvuPoR9sT",,Twitter for iPhone,15986,62547,FALSE
1.28851E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 16:26,"The drug companies are spending millions of dollars in advertising against me, only because I am lowering drug pric… https://t.co/mMSgLvEEUT",,Twitter for iPhone,32272,115793,FALSE
1.28851E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 16:19,"...Your housing prices will go up based on the market, and crime will go down. I have rescinded the Obama-Biden AFFH Rule. Enjoy!",,Twitter for iPhone,27385,130319,FALSE
1.28851E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 16:19,I am happy to inform all of the people living their Suburban Lifestyle Dream that you will no longer be bothered or… https://t.co/mAXfVohaPT,,Twitter for iPhone,40780,194525,FALSE
1.28851E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 16:07,"If Congress doesn’t bring fairness to Big Tech, which they should have done years ago, I will do it myself with Exe… https://t.co/Fs3KGqYEUv",,Twitter for iPhone,42493,150631,FALSE
1.2885E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 15:56,Reno-Stead Airport has big bucks coming its way. I’m designating over $4.8 million from @USDOT to reconstruct the a… https://t.co/me8onYIUuO,,Twitter for iPhone,9252,38409,FALSE
1.2885E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 15:55,BIG bucks are on their way to @ILMairport. Over $21.1 MILLION designated to Wilmington International from @USDOT to… https://t.co/EZArH8jSNZ,,Twitter for iPhone,7740,33001,FALSE
1.2885E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 15:54,"I am designating $18.9 million from @USDOT to MANY airports in Ohio, including @goingplacescle, @CAKairport, and se… https://t.co/xggQxzMl8W",,Twitter for iPhone,8224,36215,FALSE
1.2885E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 15:54,Great news for Florida! $3.3 million will be sent to @flyKissimmee from @USDOT for airport improvements and safety… https://t.co/1aS7JXgoaP,,Twitter for iPhone,8002,34753,FALSE
1.2885E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 15:53,"I am designating $18.77M from @USDOT for 7 airports across Pennsylvania. @PITairport, Northeast Philadelphia Airpor… https://t.co/wXJm5VABN8",,Twitter for iPhone,8264,36837,FALSE
1.2885E+18,Donald J. Trump,"Washington, DC",45th President of the United States of America🇺🇸,18/3/2009 13:46,84777620,50,4,TRUE,29/7/2020 15:52,Texarkana Regional Airport has a major grant coming its way from @USDOT. I’m designating $3.6 million to reconstruc… https://t.co/d4llxvICQW,,Twitter for iPhone,10720,47394,FALSE
